"hypothesis","sample","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","POP_V2","POP_V3","POP_Q","POP_KA","POP_CL","POP_CLCLCR","POP_CLBR","IIV_V2","IIV_CL_IIV_V2","IIV_CL","IIV_V3","IIV_KA","sigma","sePOP_V2","sePOP_V3","sePOP_Q","sePOP_KA","sePOP_CL","sePOP_CLCLCR","sePOP_CLBR","seIIV_V2","seIIV_CL_IIV_V2","seIIV_CL","seIIV_V3","seIIV_KA","sesigma","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13"
simulation,101,101,1,1,1,1,1,0,0,0,0,0,0,0,3.4,3.61147,FOCE_I,NA,211.17,281.74,-16745.464627314555,630.166,1935.11,23.3509,0.706822,19.7208,0.00175802,0.0423847,0.0340735,0.012004,0.320235,0.0319044,0.0592468,0.0102554,12.2368,45.3141,0.450995,0.0268909,0.480491,0.00057603,0.0285416,0.00618388,0.00958749,0.0184282,0.0107937,0.0180205,0.000326906,NA,NA,NA,NA,NA,0.449792,0.640044,0.658058,0.724143,0.817111,0.864905,0.985439,1.01299,1.09239,1.29134,1.36665,1.47273,1.62441
simulation,102,102,1,1,1,1,1,0,0,0,0,0,0,0,3.7,4.06837,FOCE_I,NA,227.02,264.87,-16558.734317085029,634.84,1860.03,22.7855,0.770325,19.5064,0.000816854,0.106198,0.0447295,0.0375911,0.327121,0.0337485,0.0145656,0.010144,12.3595,43.9113,0.427135,0.0255342,0.482485,0.000571821,0.0318437,0.00712137,0.010349,0.018887,0.0101667,0.0115167,0.000317893,NA,NA,NA,NA,NA,0.410354,0.595587,0.643311,0.746737,0.831072,0.852886,0.949831,0.964398,1.09792,1.24877,1.44765,1.54201,1.66947
simulation,103,103,1,1,1,1,1,0,0,0,0,0,0,0,3.4,3.28428,FOCE_I,NA,208.23,270.31,-16570.619402249176,623.83,2001.8,22.455,0.766444,18.9299,0.00196843,0.0699908,0.0379619,0.0134635,0.289166,0.0353349,0.024615,0.00975989,11.756,47.2906,0.38484,0.0265342,0.447511,0.000572297,0.0318482,0.0057484,0.00917237,0.0167989,0.00989229,0.0117534,0.000304627,NA,NA,NA,NA,NA,0.485988,0.625831,0.728694,0.782616,0.845682,0.891194,0.962689,1.01666,1.05596,1.18788,1.28947,1.53121,1.59612
simulation,104,104,1,1,1,1,1,0,0,0,0,0,0,0,3.7,4.01443,FOCE_I,NA,237.02,271.86,-16762.442772143615,620.441,1938.65,22.357,0.768542,20.2796,0.00141107,0.0349854,0.0295276,0.0299086,0.323084,0.0347955,0.0365435,0.0100233,10.829,46.1504,0.385601,0.0271782,0.493077,0.000575158,0.0252266,0.00554648,0.00942717,0.0186599,0.00905116,0.0173044,0.000314188,NA,NA,NA,NA,NA,0.420154,0.547186,0.681338,0.791384,0.864685,0.909969,0.936972,0.989692,1.06915,1.13105,1.44456,1.52719,1.68668
simulation,105,105,1,1,1,1,1,0,0,0,0,0,0,0,3.2,3.29495,FOCE_I,NA,216.2,276.43,-16564.179710449622,608.303,1913.45,22.9415,0.743353,19.3796,0.001257,0.0759413,0.0336929,0.00563766,0.278578,0.0566362,0.0489407,0.00978585,11.2652,49.0346,0.419482,0.0273582,0.448019,0.000520251,0.0312913,0.00568034,0.0083638,0.0161888,0.0131341,0.0175937,0.000310933,NA,NA,NA,NA,NA,0.501987,0.620881,0.713062,0.794372,0.822611,0.865599,0.983864,1.03094,1.09351,1.18685,1.24738,1.48493,1.65402
simulation,106,106,1,1,1,1,1,0,0,0,0,0,0,0,3.4,3.54909,FOCE_I,NA,195.02,255.29,-16317.536949456588,610.916,1915.06,22.6135,0.728135,19.0187,0.000859311,0.102666,0.0370071,0.0211642,0.274777,0.031214,0.0273601,0.010426,11.581,45.7584,0.413984,0.0254056,0.433381,0.000503331,0.0312041,0.00592926,0.00876027,0.0159094,0.00956367,0.0122087,0.000323749,NA,NA,NA,NA,NA,0.469126,0.6162,0.652199,0.785566,0.84275,0.885555,0.928201,1.0199,1.0361,1.17244,1.4276,1.49938,1.66497
simulation,107,107,1,1,1,1,1,0,0,0,0,0,0,0,3.3,3.72065,FOCE_I,NA,217.75,265.62,-16930.701719066034,623.113,1934.65,21.9884,0.757049,19.6595,0.000793641,0.107751,0.0382071,0.031301,0.281394,0.0447727,0.0327758,0.010011,11.6104,49.0991,0.395189,0.025885,0.455756,0.000538875,0.0338601,0.00619343,0.00927651,0.0163204,0.0129032,0.0143465,0.000318422,NA,NA,NA,NA,NA,0.424456,0.59474,0.666185,0.764909,0.824406,0.874218,0.95814,1.00734,1.09436,1.24294,1.47827,1.49079,1.57925
simulation,108,108,1,1,1,1,1,0,0,0,0,0,0,0,3.2,3.51544,FOCE_I,NA,221.45,267.99,-16581.341101421101,617.943,1968.21,22.5383,0.750367,18.7035,0.000954491,0.075,0.0393888,0.0165851,0.313039,0.0514603,0.01735,0.0101156,12.1573,49.0455,0.381451,0.024098,0.445235,0.000535457,0.0236915,0.00651436,0.00944133,0.0181251,0.0129615,0.0114165,0.000322759,NA,NA,NA,NA,NA,0.44714,0.67969,0.697438,0.790374,0.793888,0.894825,0.990408,0.99606,1.07418,1.23929,1.31966,1.50515,1.57189
simulation,109,109,1,1,1,1,1,0,0,0,0,0,0,0,3.5,4.34379,FOCE_I,NA,208.58,257.07,-16378.227057321552,621.638,1883.83,22.7502,0.749042,18.9295,0.000545786,0.101531,0.0522449,0.0384436,0.320152,0.0309569,0.0168699,0.0101423,12.8307,42.8472,0.406892,0.025894,0.470878,0.000571268,0.0357641,0.00774166,0.0112119,0.018533,0.0108847,0.0137118,0.000322167,NA,NA,NA,NA,NA,0.395296,0.598962,0.623645,0.713589,0.752259,0.856904,0.921209,0.969566,1.09653,1.23657,1.45165,1.66673,1.71708
simulation,110,110,1,1,1,1,1,0,0,0,0,0,0,0,3.9,3.40899,FOCE_I,NA,234.08,267.49,-17006.657694259626,649.839,1936.45,23.372,0.767725,19.3912,0.000857366,0.124186,0.0499544,0.0283561,0.318141,0.0205311,0.0150218,0.00990717,13.1596,42.4445,0.432714,0.0238057,0.475294,0.000550305,0.034741,0.00740788,0.0105526,0.0184131,0.00834884,0.0114247,0.000310459,NA,NA,NA,NA,NA,0.457997,0.634186,0.671994,0.741639,0.83438,0.862183,0.973081,1.01404,1.07572,1.24591,1.42119,1.50638,1.5613
simulation,111,111,1,1,1,1,1,0,0,0,0,0,0,0,3.8,3.5447,FOCE_I,NA,287.35,267.46,-17023.544041767884,636.069,1902.57,22.9216,0.744817,20.057,0.000412921,0.0896608,0.0391314,0.00855384,0.291708,0.0332248,0.0455769,0.0101229,12.3584,47.6541,0.446146,0.0271746,0.484902,0.000554299,0.0369983,0.00633394,0.00950953,0.0168728,0.0134838,0.0156332,0.000322803,NA,NA,NA,NA,NA,0.479029,0.578952,0.61206,0.740986,0.773508,0.834724,0.963853,1.01905,1.0452,1.24106,1.44332,1.57025,1.69801
