"hypothesis","sample","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","POP_V2","POP_V3","POP_Q","POP_KA","POP_CL","POP_CLCLCR","IIV_V2","IIV_CL_IIV_V2","IIV_CL","IIV_V3","IIV_KA","sigma","sePOP_V2","sePOP_V3","sePOP_Q","sePOP_KA","sePOP_CL","sePOP_CLCLCR","seIIV_V2","seIIV_CL_IIV_V2","seIIV_CL","seIIV_V3","seIIV_KA","sesigma","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12"
simulation,17,17,1,1,1,1,1,0,0,0,0,0,0,0,5,2.95365,FOCE_I,NA,280.34,214.08,-19922.454226371003,634.301,1903.7,22.5157,0.740953,20.2473,0.00368524,0.0414652,0.0293758,0.290646,0.0358824,0.0390316,0.00260049,9.55949,31.39,0.231295,0.0184687,0.438017,0.000570513,0.00486097,0.00770304,0.016534,0.00701087,0.00900193,8.72903e-05,NA,NA,NA,NA,NA,0.518112,0.635891,0.736255,0.809044,0.869474,0.9544,0.983482,1.02671,1.15656,1.3271,1.45265,1.53032
simulation,18,18,1,1,1,1,1,0,0,0,0,0,0,0,3.2,2.58744,FOCE_I,NA,171.62,215.51,-19810.055028877083,631.581,1909.76,22.4793,0.787342,18.8588,0.00454448,0.0310543,0.0197196,0.323706,0.0327702,0.0428607,0.00252474,8.72666,29.2266,0.207182,0.0204752,0.428398,0.000627994,0.0039323,0.00775103,0.0184626,0.0057354,0.00981365,8.35965e-05,NA,NA,NA,NA,NA,0.570821,0.690429,0.778804,0.877572,0.889114,0.993302,0.998077,1.05015,1.11305,1.23444,1.32728,1.47697
simulation,19,19,1,1,1,1,1,0,0,0,0,0,0,0,3.2,2.65992,FOCE_I,NA,199.93,211.38,-20026.593070573723,613.346,2009.94,23.0321,0.757964,19.5707,0.00504577,0.0361644,0.0240857,0.299629,0.0282863,0.036834,0.00249126,8.77127,29.4111,0.212772,0.0185313,0.428417,0.000620775,0.00418132,0.00746675,0.0169981,0.00560316,0.00807125,8.27246e-05,NA,NA,NA,NA,NA,0.563873,0.658283,0.744535,0.847247,0.909015,0.973712,0.989465,1.05517,1.12695,1.26834,1.36356,1.49985
simulation,20,20,1,1,1,1,1,0,0,0,0,0,0,0,3.3,3.13295,FOCE_I,NA,267.62,215.26,-19779.580859406691,614.323,1929.68,22.8124,0.756734,19.5686,0.00398157,0.0429554,0.0335102,0.31779,0.0305663,0.0388951,0.00268132,9.40503,29.5611,0.220341,0.0189251,0.441685,0.000642066,0.00504983,0.00860136,0.0180787,0.00591476,0.00961725,8.93348e-05,NA,NA,NA,NA,NA,0.495909,0.642462,0.756019,0.844744,0.880208,0.952782,0.992532,1.0542,1.14144,1.27948,1.40656,1.55366
simulation,21,21,1,1,1,1,1,0,0,0,0,0,0,0,3.1,2.45151,FOCE_I,NA,268.68,225.67,-19939.623692931797,648.808,2050.85,22.9862,0.792304,19.2329,0.00646373,0.0331503,0.0211033,0.312999,0.0429095,0.0328917,0.00241685,8.95892,33.0387,0.201618,0.0192107,0.429701,0.000660964,0.00418751,0.00751039,0.0178825,0.00635471,0.00883833,8.04443e-05,NA,NA,NA,NA,NA,0.5959,0.66241,0.78004,0.882655,0.901652,0.965753,1.00728,1.04787,1.112,1.21544,1.36815,1.46086
simulation,22,22,1,1,1,1,1,0,0,0,0,0,0,0,3.9,2.65519,FOCE_I,NA,227.65,217.07,-19945.432700199010,633.59,1954.38,22.7354,0.763592,19.5483,0.00628076,0.0429207,0.0254027,0.296123,0.0267761,0.0322289,0.0025629,9.64774,28.8691,0.210711,0.0183441,0.425512,0.000647302,0.00493684,0.00827877,0.0168957,0.00512339,0.0082842,8.41639e-05,NA,NA,NA,NA,NA,0.546079,0.676963,0.781324,0.875476,0.898435,0.967076,0.999866,1.03779,1.1404,1.21067,1.41598,1.44995
simulation,23,23,1,1,1,1,1,0,0,0,0,0,0,0,3.4,2.37347,FOCE_I,NA,263.7,213.7,-19731.294896362899,622.138,1920.35,22.806,0.743602,19.7395,0.00429502,0.0337267,0.011008,0.309724,0.0298943,0.0432434,0.00256479,8.85156,29.5428,0.211861,0.0192973,0.439757,0.000632541,0.00439279,0.00756644,0.0176019,0.00609148,0.0101458,8.55813e-05,NA,NA,NA,NA,NA,0.609997,0.690161,0.795149,0.876278,0.886972,0.944025,0.984016,1.08501,1.13095,1.24863,1.301,1.44781
simulation,24,24,1,1,1,1,1,0,0,0,0,0,0,0,4,2.43078,FOCE_I,NA,210.77,219.72,-19540.564125128771,621.927,1911.54,23.0065,0.724639,18.7396,0.0047571,0.0373351,0.00379676,0.296014,0.0351535,0.0281953,0.00244461,9.15104,29.4455,0.216679,0.0169199,0.407465,0.0006003,0.00463282,0.00761145,0.0168914,0.00562182,0.00723699,8.05387e-05,NA,NA,NA,NA,NA,0.611819,0.750784,0.819934,0.884663,0.906353,0.947984,0.985532,1.08345,1.11878,1.17734,1.22617,1.4872
simulation,25,25,1,1,1,1,1,0,0,0,0,0,0,0,3.1,2.84578,FOCE_I,NA,188.07,216.38,-19885.091805245524,630.526,1943.54,22.8946,0.754895,19.202,0.00527661,0.0425091,0.0293065,0.28793,0.043234,0.0446449,0.0025037,9.62148,31.5872,0.215176,0.0196057,0.411825,0.000614914,0.00495188,0.00796389,0.0164001,0.00679939,0.0101207,8.30702e-05,NA,NA,NA,NA,NA,0.531809,0.653805,0.783432,0.855633,0.926249,0.990931,0.998754,1.0279,1.13236,1.1972,1.3885,1.51341
simulation,26,26,1,1,1,1,1,0,0,0,0,0,0,0,3.1,13866200,FOCE_I,NA,321.45,438.79,-19762.191254471629,634.798,1903.62,22.9774,0.765961,19.0634,0.00541794,0.0355072,0.0316261,0.31589,0.0345467,0.0580841,0.00266959,0.00892854,0.0246176,0.000302048,1.17767e-05,0.000224776,1.72764e-07,0.00655972,0.00906922,0.0179869,0.0102984,0.0237916,3.04385e-08,NA,NA,NA,NA,NA,3.88811e-07,0.218912,0.284933,0.489793,0.533841,0.5906,0.590983,0.591533,0.59265,1.07526,1.64018,5.39132
